Year_only,state_abbrev,homeless_count,Sale_Prices,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore
2008,AK,7462,,,,,,
2008,AL,23652,,,,,,
2008,AR,14806,,,,,,
2008,AZ,56146,190750.0,,,,,
2008,CA,626632,314980.0,,,,,
2008,CO,61152,200180.0,,,,,
2008,CT,20258,244000.0,,,,,
2008,DC,28544,389230.0,,,,,
2008,DE,4228,211770.0,,,,,
2008,FL,217788,180610.0,,,,,
2008,GA,81722,,,,,,
2008,GU,3000,,,,,,
2008,HI,25800,,,,,,
2008,IA,13938,,,,,,
2008,ID,5948,,,,,,
2008,IL,64010,183620.0,,,,,
2008,IN,30972,,,,,,
2008,KS,6596,,,,,,
2008,KY,33832,108770.0,,,,,
2008,LA,23150,138580.0,,,,,
2008,MA,62728,292010.0,,,,,
2008,MD,39854,257420.0,,,,,
2008,ME,10792,,,,,,
2008,MI,118534,,,,,,
2008,MN,33650,,,,,,
2008,MO,33910,,,,,,
2008,MS,9598,,,,,,
2008,MT,5944,,,,,,
2008,NC,53298,,,,,,
2008,ND,2562,,,,,,
2008,NE,17354,117240.0,,,,,
2008,NH,8950,,,,,,
2008,NJ,57866,,,,,,
2008,NM,13482,,,,,,
2008,NV,36812,214560.0,,,,,
2008,NY,254678,,,,,,
2008,OH,56152,102110.0,,,,,
2008,OK,16506,99520.0,,,,,
2008,OR,89304,240330.0,,,,,
2008,PA,64756,141990.0,,,,,
2008,PR,17882,,,,,,
2008,RI,5274,,,,,,
2008,SC,24126,,,,,,
2008,SD,2524,,,,,,
2008,TN,45548,114600.0,,,,,
2008,TX,178448,,,,,,
2008,UT,15140,,,,,,
2008,VA,37232,235430.0,,,,,
2008,VI,3434,,,,,,
2008,VT,4284,,,,,,
2008,WA,93962,261970.0,,,,,
2008,WI,23170,148750.0,,,,,
2008,WV,8838,94190.0,,,,,
2008,WY,3138,188770.0,,,,,
2016,AK,9332,309733.3333333333,179.1546748805354,170.7089860966975,168.51897011780525,166.05679645991458,135.22878911478216
2016,AL,20100,132466.66666666666,177.00793888315565,104.0727796686503,93.25602692226141,104.07765728881293,105.99298282988825
2016,AR,13190,132666.66666666666,109.22180685211951,74.25670147809835,84.23402798131775,103.58093759605175,98.68659541707835
2016,AZ,49880,218441.66666666666,129.37970569159182,122.05013735339833,124.29671786760917,122.26070104052184,119.09141812856542
2016,CA,668516,422925.0,402.1133151991553,294.8539564546033,259.5449616591982,256.0622660555154,270.8310255617939
2016,CO,55552,297908.3333333333,301.21148517793364,223.80496422844385,194.12268480731186,196.79875358807718,212.9231025164985
2016,CT,18814,224966.66666666666,154.21896671935426,148.68336359793292,160.98383998753823,166.07300662904592,178.36412666041667
2016,DC,44816,513758.3333333333,534.8045363577327,506.97431534372436,425.68807388621434,442.4203298683972,528.0564485800128
2016,DE,5074,220016.66666666666,,141.44017572536126,137.14428462164034,130.71061461843908,156.65103694899608
2016,FL,174246,188533.33333333334,202.03180109131725,143.57301901271092,134.55572189803533,135.85925771886107,152.45930134676476
2016,GA,64516,161691.66666666666,186.44091842490207,103.78640199755729,92.02936402994385,101.5951480841806,111.52127863823375
2016,GU,4692,,,,,,
2016,HI,42594,,573.2438109635019,488.8792805316066,422.2177568156289,424.0059018772013,390.2516377124746
2016,IA,14774,,116.26802986225492,102.82458419534457,121.08932890901491,130.4169318324489,139.5740284971995
2016,ID,11644,192933.33333333334,199.03031957399298,134.75837850684758,128.75459264275617,119.20049770301442,113.57655215050825
2016,IL,57524,179508.33333333334,121.08236854637583,113.79803289377634,121.94876117731108,135.34878626353432,153.34578816434768
2016,IN,28980,,74.5173017693037,71.943814860127,85.50282503006395,92.87218429979681,95.11864631844064
2016,KS,10008,,62.77399619283698,69.71114080701157,93.26802465487755,120.37272223816933,132.61410358719374
2016,KY,20890,144016.66666666666,87.64150469554414,90.40996718753087,96.28924800283197,101.49061476343782,99.99000609956727
2016,LA,21046,163075.0,,93.58595831030232,105.22914413568134,119.56468448506332,118.87661836218017
2016,MA,94740,331708.3333333333,317.1016449391518,221.83414569912023,210.53420384001183,211.63551130326974,183.34903603959842
2016,MD,39480,248500.0,199.99664244475764,171.2126002297609,162.80469382294666,166.72997097337415,170.1812342035781
2016,ME,11044,,197.40991274293847,158.915973107499,137.10992496575767,125.5230397798365,111.98592277149493
2016,MI,46678,,107.47201064932932,103.70693057018171,110.66986236803866,125.66649092618441,134.00236168326458
2016,MN,38104,210683.33333333334,174.9857752672215,146.23979551711284,158.5452117996239,165.59600497965218,170.04540993464516
2016,MO,35318,156625.0,95.70110155683533,80.94906275209551,95.65401559317779,106.65181842674832,99.69036325859305
2016,MS,8414,,,80.42947315850613,84.17402090363818,97.36712100403649,98.3398101769467
2016,MT,7082,240683.33333333334,221.20716729544858,168.70825615794217,161.05162176204593,168.58045628271134,172.54501602230275
2016,NC,47676,,,,,,
2016,ND,4788,,,,,,
2016,NE,13562,154808.33333333334,131.89239617372468,116.74583353281633,120.36059671617767,119.94432915375057,122.561571310484
2016,NH,7404,,,,,,
2016,NJ,43862,,,,,,
2016,NM,12930,,,,,,
2016,NV,39590,217691.66666666666,152.58595413951937,128.36919962317992,132.5060013145829,130.372450114856,125.84254275061083
2016,NY,398450,,,,,,
2016,OH,50656,122466.66666666667,89.33629809329427,76.76865769947794,85.71990841174325,100.30188653037305,87.40979285811329
2016,OK,21908,132050.0,83.81729208211208,69.31904076768423,93.37108755429377,107.10281521510092,113.09640291900065
2016,OR,75044,274650.0,239.80638761480407,185.56343990623668,171.44127486480306,172.1566094391484,164.43119424220342
2016,PA,76154,151216.66666666666,138.0260225977795,105.68991112482566,105.56775323717424,120.3466907183069,101.61078232829631
2016,PR,25914,,,,,,
2016,RI,5796,,,,,,
2016,SC,27040,,,,,,
2016,SD,5138,,,,,,
2016,TN,46292,149166.66666666666,,105.2797039770852,103.0240884454558,112.69332726212532,119.58979475871534
2016,TX,118182,196083.33333333334,177.09279551438883,134.18919728643908,109.46203303045826,114.53618862191125,123.28269333000975
2016,UT,13386,249641.66666666666,163.67741259934516,157.13523013751907,154.7448859527395,155.18315390948558,158.08538495315517
2016,VA,31262,253400.0,241.55768267635457,143.4932528758615,137.7549185778141,146.2860815732295,156.91372561529366
2016,VI,1564,,,,,,
2016,VT,5762,,152.40522964246583,146.8714258230431,140.7742727884769,138.81694680750684,121.72161840785968
2016,WA,103862,294916.6666666667,270.17935374784435,192.74605174955698,174.27343802644842,174.81798770673265,183.9881927988281
2016,WI,27656,163283.33333333334,139.400274866045,119.64764599870442,119.1083714328925,113.19173742469242,98.35669671419826
2016,WV,7020,140341.66666666666,111.10049037406769,81.74469497372597,90.59060032987837,93.59290892165654,89.20119461331944
2016,WY,4184,227700.0,194.8743183038374,151.02582014543617,137.697140435007,140.18415958224116,149.28942543290142
